,comment_text
3445,"Ein Geschäftsmodell , das Lohnsubventione n des Staates für Mitarbeiter benötigt, ist absolut unbrauchbar!! Ein Mindestlohn muss das ausgleichen! Die Industrie bezahlt besser, die Subunternehmer sind das Problem! Die werden in den Kosten gedrückt. Damit hat die Industrie einen Kostenvorteil!! Auf Kosten der Arbeitnehmer und der Steuerzahler!!"
3446,"Die Aussage von Hubertus Heil mit der Rente stimmt nicht ganz. Ich bin 30 Jahre selbstständig, habe eine Menge Steuern gezahlt, einiges mehr als viele Arbeitnehmer in ihren ganzen Leben, und werde keine 400 € Rente bekommen. Da man mir in den letzten Jahren auch noch von Banken, Finanzamt (Schätzungen) und anderen Deutschen Institutionen (die Gelder ohne Leistung mit staatlichen Unterstützungen bekommen) fast alles genommen hat, bleibt im Rentenalter nur die Armut ..... Danke Herr Heil ... an Sie und ihren Kollegen"
3447,"Ist das jetzt nicht rasistisch und diskriminierend , wenn Herr Heil von Häuptlingen und Indianer spricht?? Und da sagt keiner was 😟 Und wir dürfen nicht mehr Zigeunerschnitz el etc. sagen ..."
3448,mindestens CDU CSU und FDP Abgeordnete sollten endlich z.B. das Buch der Wirtschaftsnobe lpreis-Trägerin 2019 E. Duflo und des ebenfalls mit dem Wirtschaftsnobe lpreis ausgezeichneten Kollegen A. Banerjee lesen : Good Economy in hard Times (auch in dt. Übers. erschienen)
3449,"Konzerne wie Amazon nehmen Milliarden ein und zahlen dennoch kaum Steuern. Der Trick: Sie verlagern ihre Gewinne in Steueroasen. Damit könnte aber bald Schluss sein.  Der Online-Händler Amazon hat 2020 in Europa Rekordumsätze erzielt, aber keine Steuern bezahlt. Die Niederlassung Amazon EU in Luxemburg wies nach Recherchen des britischen ""Guardian"" einen Verlust von 1,2 Mrd. Euro aus. Dass die Körperschaftsst euer umschifft wird, liege an einer großzügigen Gutschrift im Steuerparadies Luxemburg. Dabei seien die Erlöse etwa in Deutschland um 33 Prozent gestiegen, wie der Plattformriese der US-Börsenaufsic ht meldete, in Großbritannien um 50 Prozent.  Amazon ist nur einer von vielen Konzernen, bei denen kritische Finanzpolitiker immer wieder rot sehen. Der Vorwurf: Internationale Konzerne betrieben ""aggressive Steuergestaltun g"". In der Praxis heißt das, Gewinne werden wie in einem Verschiebebahnh of bei Töchtern in attraktiven Niedrigsteuerlä ndern verbucht. So profitiere etwa Amazon Straßen, Infrastruktur, öffentliche Dienstleistunge n, leiste aber keinen fairen Beitrag zum Gemeinwohl. Auch deutsche Dax-Konzerne unterhalten Hunderte von Töchtern in Steueroasen. Alle Unternehmen beteuern, im Einklang mit den Gesetzen zu handeln.  Deren Verschärfung nimmt allerdings gerade Fahrt auf. Auch Deutschland zurrt die heimische Gesetzgebung fester. Zudem könnten bald international der Steuervermeidun g weitere Riegel vorgeschoben werden. Erstmals wird nach jahrelangen Verhandlungen eine politische Einigung greifbar. ""Wir haben die große Chance, uns noch im Sommer auf eine globale Mindeststeuer zu einigen"", sagte Finanzminister Olaf Scholz in einem Interview. Gemeint ist eine Reform der Industrieländer organisation OECD für ""Base Erosion and Profit Shifting (BEPS)"", die das ""race to the bottom"", den Unterbietungswe ttlauf von Steueroasen, beenden soll."
3450,Da hilft leider nur schwarzarbeit. Arbeiten lohnt sich eigentlich nicht mehr. Leiharbeitsfirm en sind moderne Sklaverei. Man geht nur noch arbeiten für den Staat und für mieten und Nebenkosten.
3451,"Es muss ein bedingungsloses Arbeitslosengel d her.  Denn nur damit wächst der Druck auf die niedrigen Löhne.  Denn wenn ein Arbeitgeber auf einmal keine Arbeitskräfte mehr findet, muss er zwangsläufig die Löhne erhöhen.  Bitte nicht verwechseln mit dem Grundeinkommen.  Meine Idee vom bedingungslosen Arbeitslosengel d setzt die einzige Bedingung an ""Arbeit ja / nein"".  Dann kann ich mir aussuchen, ob ich für 1.100 Netto arbeiten gehe oder für 1.000 € Zuhause bleibe."
3452,"Zum Glück gibt's es ja noch die ""öffentlich rechtlichen"" wo man ein dickes Gehalt und ne fette Pension ""verdienen"" kann. 😅"
3453,"Auch bei 12 Euro Mindestlohn sind kann man keine große Sprünge machen. Was noch trauriger ist, das bei diesem Verdienst nach 45 Jahren Arbeit nur eine Rente in Höhe der Grundsicherung heraus kommt."
3454,"Bei der Abgabenlast, die uns, mit steigender Tendenz, aufgebürdet wird, müsste der Mindestlohn wohl schon bei 15-20 € liegen, um sagen zu können, dass sich Arbeit lohnt."
3455,"Die Schere wird noch weiter steigen, wenn grün gewählt wird. Wenn Lebensmittel nur noch auf bio und transfair gehen droht eine Inflation um 50 % nicht nur auf Heizung und Sprit. Der Hartz4 Regelsatz für eine 5 köofige Familie müsste um 900 Euro steigen nur um das auszugleichen. Da geringe und mittlere Löhne nicht so steigen können würde auch die Mehrheit der Erwerbstätigen am Existenzminimum leben. Wohngeld, Düsseldorfer Tabellen alle Grenzen müssten hoch, das wäre ein sozialpolitisch e und fiskales Fiasko. Vergleicht bio und konventionelle Ware, googelt Wohngeld und Hartzrechner Ihr könnt prüfen."
3456,"Da hat diese Frau sowas von recht . Vor Jahren hat die Firma wo ich 30 Jahre beschäftigt war den Standort geschlossen ,natürlich trotz schwarzen Zahlen. Da ich 3 Wochen später 58 geworden bin ,war nichts mit Auffanggesellsc haft ,sondern Arbeitsamt . Die Angebote waren zu 99% Leihbuden mit Stundenlöhnen von 11,30€ das waren 45% vom letzten Lohn. Da ist man gezwungen worden ,diesen Job nicht anzunehmen ,weil sonst hätte man gleich unter einer Brücke umziehen können ."
3457,"so hart wie es ist. für die dame macht das arbeiten gehen leider keinen sinn. besser hilfe beantragen, ums kind kümmern und eine weiterbildung machen. wenn möglich."
3458,"Das hat alles mit der Realität überhaupt nichts zu tun. Warum gibt es überhaupt diese Kommission?... Die wurschteln scheinbar auch nur rum, kosten auch Steuergelder und sehen die Arbeitnehmer überhaupt nicht. Hier wird Geld in alle Richtungen geschmissen aber die, die versuchen ihr Leben auf die Beine zu stellen werden noch mit Füßen getreten. Herr Kirchhoff ist bestimmt nicht der Mensch, der für den Arbeiter stimmt. Die Diskussion mit ihm war meiner Meinung nach so gut wie überflüssig. Der braucht sich über Geld keine Sorgen machen.. Auch wenn er durch die Krise was abgegeben hat.... In diesem Land stimmt so viel nicht. Es ist unendlich traurig"
3459,Stellt euch mal vor was diese Frau später an Rente bekommt. Armes Deutschland. Kein Rentner aus den Niederlanden Luxemburg oder Österreich würde mit unserer Hungerrente tauschen.
3460,"Mit dem Mindestlohn hätte man auch eine Miet - und Preis-Bremse einführen müssen. So steigen mit jeder Rentenerhöhung, Hartz4 Aufstockung und Kindergelderhöh ung die Preise. Nicht weil die Produktion teurer wird, sondern weil die Obrigkeit jedes Mal ein Stück vom Kuchen ab haben will. Das einzige was nicht steigt sind die Löhne."
3461,Ich reg mich schon wieder auf der Arbeitsminister erzählt laufend von der Grundrente aber wann kommt die?
3462,"Ihr habt eines vergessen, der größte Raubritter ist unser Staat mit seinen Steuern. Wir arbeiten von Januar bis Juli nur für den Staat ohne einen Cent verdient zu haben."
3463,"Politik und Arbeitgeber werden zu diesem Thema eingeladen. Gewerkschaften exestieren wohl für Euch nicht mehr. Sie und Kollegen die organisiert waren haben für gerechte Löhne gesorgt. Das kennt Herr Kirchhoff sicher noch, wenn die Gerkschaft zum Streik aufrief und die Bude war danach leer."
3464,"vielleicht erklären sie dem geneigten beitragszahler mal den Gini-Koeffizien t ( beim vermögen ). dann würde man auch erkennen, warum mind. 2 gäste der sendung den durchschnitt drücken / heben / versauen. aber immer schön viel zeit in die vorbereitung der sendung stecken."
3465,"Anwälte, Steuerberater, Notare, Ärzte,... haben übrigens auch staatlich festgelegte Vergütungsgeset ze, Gebührenordnung en,...  Eine deutschlandweit e gesetzliche Tarifbindung für alle Arbeitgeber wäre übrigens sinnvoll."
3466,Die Steuern müssen runter....und der Lohn muss auf mindestens 13€rauf...es muss über den Tellerrand geschaut werden hin bis in denRenteneintri tt
3467,"Ich könnte......... !!!! Ich bin Altenpflegerin ich bin nur am Arbeiten mein Mann spricht mich bestimmt bald mit sie an , ich arbeite in Vollzeit, wenn wir nicht zwei Verdienste hätten könnte ich von 1500 € Netto nicht leben!!!!! Ich frage mich warum ich Feiertage , Wochenenden und 24h Bereitschaftsdi enste schiebe !!! Ich habe bald keine Kraft mehr , die Motivation wird weniger. Warum ändert sich nix ????"
3468,"ab herbst dann agenda 2030 und hartz 5, wenn heil und grün zu viele stimmen bekommen. wie vergesslich sind die rotgrünen ? dazu noch die steuervermeider in von der (a)fdp und der vertreter der arbeitgeber. so geht die schere ganz schnell zu. gute besserung herr plasberg."
3469,"SPD, Grüne mit wohlwollen der CDU und Zustimmung der Gewerkschaften sind durch Niedriglohn mit verantwortlich an altersarmut. Was wird mit der Wertschätzung der Renter und die demnächst in Rente gehen, deren Renten minimal nach 45 Arbeitsjahren über Grundsicherung liegen? Im Vergleich zu den Personen, die nie Sozialabgaben gezahlt haben, nur über das Sozialamt mit Grundsicherung und Wohngeld finanziert werden. Die Personen haben teilweise mehr Geld zur Verfügung. Die neue Grundsicherung mit 33 Arbeitsjahren übertreffen nun die längere Arbeitsjahre gearbeitet haben, da diese Personen minimal mit ihrer Rente über Grundsicherung liegen und somit gar nicht bei Berechnung berücksichtig werden. Anreiz bei Niedriglohn höchstens 33 Arbeitsjahre zu arbeiten."
3470,löhne runter - aktie hoch - dividenden auszahlen - das arbeitende volk bleibt da auf der strecke aber ohne dieses volk gibt's keine aktie - finde den fehler - auf geht's 🍀
3471,"Man muss nicht nur auf den Stundelohn schauen, der allerdings zu niedrig ist, sondern die viel zu hohen Steuern auf den kleinen Einkommen"
3472,Allen Respekt vor Frau Kordus. Alleinerziehend und berufstätig - das schafft nicht jeder/jede.
3473,"Danke SPD!! Danke Gerhard Schröder!! Warum wundert ihr euch nur, dass euch keiner mehr wählt??"
3474,Allergrößten Respekt für Frau Cordes! Sie ist ein tolles Vorbild.
3475,"Statt solchen Menschen RESPEKT zu zollen, die für den Mindestlohn arbeiten - erst recht, wenn es ±0 kommt zur Stütze - muß man Ihnen klar machen, daß SIE auch ein Teil des Problems sind! Wenn keiner für 10 Euro irgend n Drecksjob macht, dann gibts schneller 15,18,20 Euro dafür, als wenn Frau Wagenknecht Kanzlerin wäre. Die Politik ist dann gefragt, daß die Schwarzarbeitet nicht ausufert uvm."
3476,"Schwarzarbeit,D icke und Luxus Autos,ansonsten lebt man im Armut,so einfach ist das in Deutschland geworden 🤷🏻‍♂️🤷🏻‍♂️🤷🏻‍♂️"
3477,"Die Diskussionen im Bundestag oder in den Talk_Shows über das Thema ""Arm trotz Arbeit"", sorgten lediglich für hohe Einschaltquoten . Mir kommt es vor, als hielte man einem Esel an der Angel eine Möhre hin, damit er weiter den Karren zieht. 😜"
3478,"Wieso gibt es keine Pflicht den Tariflohn in einer Branche zu bezahlen, z.B. Kfz Handwerk. Die Arbeitnehmer treten einfach aus dem Verband aus und stehlen sie so aus der tariflichen Bezahlung. Hier ist der Gesetzgeber gefragt einen Riegel vorzuschieben. Nicht nur in der Pflege. Lieber führen wir stundenlang Diskussionen über Mindestlöhne. Unverständlich"
3479,"Mir fällt auf, dass unter den Gästen niemand von den Grünen ist. Sie sollten doch mal erklären, warum es für sie außer Klimaschutz kein anderes Thema gibt. Im Koalitionsvertr ag von Baden-Württembe rg steht beispielsweise nichts über ältere oder alte Menschen. Die kommen bei den Grünen leider nicht vor."
3480,"Wer glaubt denn bitte, dass es den Menschen durch höhere Löhne besser geht? Dann steigen die Lohnnebenkosten , die Mieten und alles wird teurer. Weil Firmeninhaber das auf ihre Waren umlegen werden. Und schwups ist alles wieder weg und es hat sich nichts verbessert."
3481,"Wichtig ist für den Staat die gute Versorgung der Beamten, sogar vorgeschrieben, der Staat hat für ein „auskömmliches Leben der Staatsdiener“ zu sorgen....da bleibt für Rentner nicht viel übrig. Irgendein Institut hat vorgeschlagen, die fehlenden Staatseinnahmen aufgrund der Pandemie, kann man am Einfachsten entlasten, in dem das Rentenalter erhöht wird....traurig , aber so schaut es aus. Jeder Rentner, der den Renteneintritt nicht erlebt, ist für die deutsche Regierung ein guter Rentner...😡"
3482,Eines der größten Probleme bei uns ist die sinkende Anzahl an Nettosteuerzahl ern. Jeder der beim Staat zusätzlich angestellt wird verschlechtert dieses Verhältnis sind Deutschland noch weiter. Wir brauchen dringend eine gewaltige Lohnsteigerung der privatwirtschaf tlichen Angestellten und zwar über sämtliche Gehaltsschichte n bei gleichzeitiger Reduzierung der Angestellten beim Staat.
3483,"Ich hab mich vor 20 Jahren ,als einer der ersten Harz4 Empfänger , selbstständig gemacht. es hat über 10 Jahre gedauert bis ich ein ordentliches Einkommen hatte. Leider scheiterte das Unternehmen nach 14 Jahren durch Kpmmunalbeamte, die keinen Bezug zum echten Leben hatten. Nun, mit meinem neuen Betrieb, geht es mir dank der Pandemie genauso. Man müsste Beamten und Politikern vorschreiben, dass sie mal ein paar Jahre in einem Wirtschaftsbezr oeb arbeiten müssen. Dann wäre vieles besser laufen."
3484,Man kann nun mal niemanden der 40 Stunden die Woche nur Briefe eintütet und kaum Bildung hat ein Gehalt zahlen welches zum Lebensunterhalt und 2 mal im Jahr Urlaub reicht. Punkt. Da kann man diskutieren wie man will.
3485,"Die Altersarmut ist bei solch einer Regierung und ihren Machenschaften vorraus zu sehen. Der Grund dafür ist, wir müssen, wir müssen und wir müssen, das wars dann auch schon. Nicht wahr. Ist auch beim Mindestlohn so."
3486,"Ich habe jetzt ein gutes Auskommen, mit den ich mir auch das eine oder andere leisten kann. Es reicht jedoch bei weitem nicht, um bei Rentenantritt, auch für nur 80% meines jetzigen Nettos zu sorgen. Es gibt also 1 Zusatzversicher ung und wenn das nicht reicht, darf Vater Staat eben aufstocken. Wenn ich in Rente gehe, habe ich, bis auf insgesamt 6 Monate Arbeitslosigkei t, 48 Jahre die Solidargemeinsc haft unterstützt und mitfinanziert. Diese darf das dann gerne auch bei mir tun."
3487,"Früher in meinem Sozialpädagogik -Studium wurde uns von dem Phänomen „working poor“ aus den USA berichtet. Einige Jahrzehnte später ist das auch in Deutschland Realität geworden und das mit mittlerweile zwei vollen Einkommen pro Familie. Ohne dass eine Familie unterstützt wird, z.B. durch mietfreies wohnen im Wohneigentum der Eltern, sieht es leider extrem eng aus."
3488,Dank Agenda 2010 die uns SPDler mit asozialer Grundeinstellun g eingebracht haben.
3489,Das Renten System komplett ändern wäre eine Möglichkeit wie es in unseren Nachbarländern Niederlande oder Österreich ist. Unser System ist unfair und erbärmlich.
3490,Ich reg mich schon wieder auf der Arbeitsminister erzählt laufend von der Grundrente aber wann kommt die?
3491,"Wertschätzung und Respekt setzt ein gewisses Maß an Intelligenz voraus. Wo das Problem für viele Politiker schon anfängt.  Zum Thema Direktversicher ung, die keine Betriebsrente ist: Wer die monatlichen Krankenkassenbe iträge um monatlich 210 EUR ab 2004 in die Höhe geschraubt hat und jetzt ab 2020 eine kaum merkbare Entlastung von 23,87 EUR als spürbare Entlastung verkauft, braucht sich bei den nächsten Wahlen nicht wundern, wenn andere Parteien als Schwarz, Rot und Grün gewählt werden! Wir sind zwar Grau, aber nicht senil, um nicht diese Enteignung zu vergessen!!! Erst angelockt mit dem Versprechen der Politik, das bei der Auszahlung der Direktversicher ung Beitragsfreihei t besteht, aber dann von der Politik gnadenlos mit Dreifachverbeit ragung abgezockt! WWW.dvg-eV.org"
3492,"Stimmt: Wo sind aber die Lösungen - spricht nur darüber. Ist damit ""DEMOKRATIE im Parlament"" wirklich ein Erfolg: Oder nicht mehr ein Wort - dem Verstecken, Herauszögern und Leugnen - bis man sebst verstorben. Der WIND trägt es weiter."
3493,"Aufgewachsen bin ich als drittes Kind eines Stahlarbeiters mit dreifacher Schicht und einer Hausfrau mit Minijob. Heute bin ich über 50, verheiratet, drei Kinder und Beamter bei Land NRW. Das habe ich geschafft, weil das Bildungssystem durchlässig ist und ich bereit war zum lebenslangen lernen. Sind das dir Leute heute auch?"
3494,"Was mich ärgert das junge Menschen, alleinstehend nur Teilzeit arbeiten, warum das? Da hört man nur „ich brauche meine Freizeit“ oder 40 Stunden schaffe ich nicht. Das kann doch nicht sein"
3495,"Früher konnte mit einem Einkommen aus Lohnarbeit eine Familie mit zwei Kindern ernährt werden, ein Auto gekauft und ein bescheidener Camping-Urlaub bezahlt werden. Und ein Eigenheim finanzierte sich durch die steigenden Immoblienpreise und auch mit den mit dem Lebensalter steigenden Löhne und mit der Inflation.  Teurer sind vor allem auch die Gebühren und Wohnnebenkosten im Verhältnis zum Lohn geworden: Strom/Wasser/ Abwasser/Müll/ Heizung/Ausweis/ Studiengebühren/ Parkgebühren/ Eintrittspreise/ öffentlich-rech tliches Fernsehen/ private Streamingdienst e/Handyvertrag/ Strafzettel/ öffentlicher Nahverkehr/ Miete/ Betriebskosten Auto/ Rezeptgebühren/ Studiengebühren, bzw. Semestergebühre n/ ...Das alles war früher im Verhältnis zum Einkommen wesentlich preisgünstiger, bzw. das gab es z.T. überhaupt nicht.  Und erst mit dem Rentenraub Ende des letzten Jahrhunderts und Anfang dieses konnte mit einem Einkommen keine Altersrente mehr auch für die mitversicherte Ehefrauen erworben werden. Das was früher die Ehefrauen in einem Teilzeitjob mitverdient haben, war für Extras, für den Urlaub mit Flugreise vllt..  Am schlimmsten schlagen heute jedoch die Mietkistennzu Buche, bzw. die ins unermessliche gekletterten Immobilienpreis e."
3496,Wohlstand heißt was? 100000€ Jahresgehalt? Eigener Heli? Tesla alle 6 Monate neu? Villa am See?  Wohlstand heißt für mich Meine Kinder in Zeiten wie jetzt zu unterstützen. Keine Kurzarbeit zu haben. Gesund zu sein. Geimpft zu sein. Verreisen zu können.  Definiere Wohlstand und man findet hunderte von unterschiedlich en Sichtweisen.
3497,"Mittlerweile glaubt keiner mehr ernsthaft, dass man durch Arbeit reich wird. Die berühmte Schere zwischen Arm und Reich ist defekt! Eine Veränderung kann nur durch erhebliche Revisionen in diversen Bereichen erfolgen. Erst wenn Ostern und Weihnachten auf einen Tag fällt, erreichen wir das Ziel!"
3498,"Nahezu alle Parteien wollen Abgaben und Steuern erhöhen. Das ist ein zunehmendes Problem. Das gestiegene Brutto ist immer weniger an Nettoeinkommen. Das Realeinkommen sinkt, das Durchnittseinko mmen jedoch steigt. Uns geht's gut. So die Parole. Und mit den GrünInnen gibt es sicherlich immer mehr für die es reicht. Oder bei denen es reicht. Ist ja auch egal, Hauptsache ist doch das Politcal Correctness gesprochen und gegendert wird oder ❓😂😂"
3499,"Seit wann macht der Staat die Löhne, findet man keinen Handwerker für Mindestlohn dann steigt der Lohn dito beim Bahnhofputzer.. .das ist richtig , Markt und gut so !  Nächste RRG Kommunismus Werbesendung : Meine Daten alter weisser Mann 😎54 Doppelscheidung skind usw. Taxi 1987 6 DM Stunde = ca. 3 Euro heute Mindestlohn =ca. 18 DM / Miete 1987 warm 400 DM heute 600 Euro ( 1200 DM) eine vergleichbare Wohnung. Miete 0 % NULL gestiegen seit 1987 und die Mär das jeder Hilfsfuzzi sich den Benz, Porsche und Haus leisten konnte den lasst mal stecken....heute kann jeder Handwerker locker Millionär werden ich kenne viele die haben als ganz einfache Handwerker mehrere Mietshäuser... aber wenn man eben Genderwissensch aft und Musik studiert (meine Frau ist Top - Pianistin aber verdienen .... ist ihr auch klar das können damit die wenigsten gut)  9 mal umgezogen 24 Jobs (Freunde und Lebensraum bis auf die Hand voll echte Freunde immer aufgegeben vom Leiharbeiter, Taxifahrer, Hilfsarbeiter, Großhandelkaufm ann , Paketfahrer, Eismann und Eisverkäufer, Vertreter, selbständig, Import - Produktentwickl ung und später Partner, Vertriebsleiter , Pleite, Scheidung, wieder Schei......jobs neue Partner neue Firma, Investoren Partner und heute Vermieter (noch nie Bestandsmieten erhöht nur nach Sanierungen und Neuvermietung wobei bei den 20 Jahre nicht erhöhten muss es nun sein sonst macht der Staat sogar Probleme...  Fazit: Wozu jammern mir ging es in Deutschland trotz allem gut. H4 ist LUXUS in 99 % aller Länder ich habe einige gesehen.... Wir können hier nicht die ganze Welt und jede Hilfsarbeiterin mit Gold zuschütten. Wenn der ""Said"" eben nicht den Bahnhof putzt macht es ein anderer oder der Lohn steigt wenn man keinen findet das ist Markt und das ist gut so !  Sozial ja bin ich mehr als 90 % der Pharisäer und Bigotten linksgrünen Apparatschiks.. ..Sozialismus Nein Danke !"
3500,"Respekt an Frau Kordus…wenn man sieht, dass eine Mutter ihr Kind um 6.00 Uhr morgens in die Betreuung bringen muss, damit sie arbeiten kann und dann bleibt 500€ zum Leben???  Was läuft da falsch Herr Heil??? Und sagen sie bitte nicht wieder:  „ ich bin ganz bei Ihnen Frau Kordus!!!“  Davon wird deren Geldbeutel nicht dicker"
3501,Will nur ihr Buch verkaufen 😂🙈
3502,"Wohlstand ist immer für jeden etwas anderes. Für mich zb Beispiel bedeutet Wohlstand das ich mein Haus weiterhin bezahlen kann, mir das Auto, welches ich wegen kranke Familienangehör igen brauche weiter halten und betanken kann. Wohlstand bedeutet aber nicht, durch die Welt zu fliegen, Luxus Gegenstände und zig Luxus Autos zu besitzen denn das ist Reichtum. Leider leben viel zu viele im Armut und genau das wird von allen Politikern gerne übersehen da für die nur der obere Mittelstand zählt. Übrigens, Wohlstand bedeutet für mich auch, dass wir weiterhin ärztliche Betreuung haben und uns die Medikamente noch leisten können. Die Frage ist da nur, wie lange gibt es für den Mittelstand noch Wohlstand? Ich befürchte, dass wir ab September viel davon einbüßen werden wenn wir eine Grüne Kanzlerin bekommen."
3503,"Die Billig Arbeitskräfte werden unkontrolliert in unser Land gelassen, das ist die Realität 🤔"
3504,"Was ist eigentlich mit der Rente, es wird einfach eine null runde beschlossen, und keiner spricht über die Ungerechtigkeit , auch nicht hartaberfair???"
3505,"Was bitte, bedeutet das Wort Öm, welches in jedem Satz von Julia Friedrichs ca. 5 Mal vorkommt."
3506,Ähm ähm ähm stottern kann anstrengend sein als Zuhörer. Zum Thema trägt sie leider nix bei
3507,"Ja ja, die hochgebildet und studiert. 😉"
3508,"Bin mal gespannt , wenn Grün an der Regierung sein sollte, was man sich nach Verboten, Ökoabgaben , Benzin Strafsteuern dann noch Leisten kann ?"
3509,Fällt erstaunlich früh auf! Die scheint echt klug zu sein...
3510,"In der Krise kann man ganz klar erkennen, wer die Profiteure sind. Großunternehmen und die eh schon reichsten Menschen der Welt!!! Viele der ""normalen Menschen"" bleiben einfach auf der Strecke! Ich lehne mich Mal aus dem Fenster und behaupte, das dieses von Kapitalismus zerfressene System bald wie ein Kartenhaus zusammenbricht! So wie es jetzt ist, kann und wird es nicht weitergehen!"
3511,"Das Problem ist auch, dass Deutschland an seinen Systemen festhält und immer nur in eine Richtung denkt. Der Staat nimmt en kleinen Leuten und auch den kleinen Unternehmem die Luft zum Atmen. Es gibt Länder die weniger Steuern erheben, Krankenkassen, Renten und sonstige Lohnnebenkosten werden nicht mal neu durchdacht. Die Systeme sind mittlerweile nicht mehr zeitgemäß. Es müsste alles neu überarbeitet werden aber da geht keiner dran. Die Politik interessiert es nicht ob das Rentenniveau weiter sinkt. Da sind die Schäfchen im trockenen."
3512,"Wenn soziale Marktwirtschaft noch funktionieren würde, bräuchte es keine Mindestlöhne - Umkehrschluss!"
3513,Warum wird immer von den Löhnen gesprochen? Warum spricht niemand mal über die horrenden Lohnnebenkosten ?
3514,"Freiwillig würden Unternehmen doch am liebsten Menschen für 3 € die Std beschäftigen . Erntehelfer z.B. Wo kamen die vor der Osterweiterung her ? Danach waren Polen billig genug , jetzt sind die Polen zu teuer und man nimmt Rumänen und Bulgaren ,weil die ja noch leichter zu erpressen sind ,denn es geht ihnen in der Heimat teilweise richtig schlecht . Am liebsten würden sich die Unternehmer doch noch Menschen aus Bangladesch einfliegen lassen , die kennen es ja für eine Schüssel Reis 12 Std zu arbeiten , denn wenn sie es nicht machen , hätten sie nichts und genau das wird ausgenutzt ."
3515,"Welche Tarifautonomie? Die gibt es doch schon lange nicht mehr - das war vielleicht im letzten Jahrtausend noch so, aber doch heute nicht mehr."
3516,Die Tarifflucht ging ja nicht von der Politik aus. Das hat die Wirtschaft ganz alleine hinbekommen.
3517,"Tarifautonomie, der war gut!😄 In einem Land, wo die Durchsetzungskr aft der Gewerkschaft seit über 25Jahren kontinuierlich abnimmt und die Menschen sich kaum noch organisieren wollen.Da redet der von Tarifautonomie. Das ist ein schlechter Witz!"
3518,Dann Nie die Grünen wählen..Sonst müssen wir noch mehr Strom und Benzin Preis zahlen.Dann bleibt noch weniger vom Netto Lohn
3519,"Die Politik hat mit der Einführung des Euro die Löhne halbiert, die Preise sind sind schneller gestiegen als die Einkommen. Da wurde schon der Grundstein für künftige Armut gelegt. Und es wird noch schlimmer werden."
3520,"Das Kernproblem sind doch nicht die Bruttoeinkommen ! Es sind die Weltmeistersteu ern. Selbst Rentner müssen ihre bereits versteuerten Leistungen NOCHMAL versteuern. Von den Steuern der AG ganz zu schweigen. Ausnahme :eBay, Amazon... Daimler einige Banken in Hamburg 😂😂"
3521,Ein Totalausfall in der Diskussion.
3522,"Das Thema ""Arm trotz Arbeit"" wid zum Dauerbrenner! 😁"
3523,"Herr Kirchhoff, sicher kann und darf die Politik nicht Löhne vorgeben. Hat jedoch den RAHMEN zu schaffen. Und dieser steht nicht. Auch funktioniert - TARIFAUTONOMIE - entgegen aller Veröffentlichun gen nicht. Jetzt hier zur Untersetzung nichts - füllte sonst mehrere Bücher. Würde sich damit aber auch nichts ändern. Ihre Aussage untersetzt nur: Wer der POLITIK vorgibt, nötigt - was zu tun, damit alles weiter so erfolgreich - weitergeht."
3524,"Jaja, aber staatliche Zuschüsse - genannt ""Aufstocken"", das ist doch ne feine Sache"
3525,Hahaaa jetzt versucht doch wahrhaftig ein Kapitalist mit asozialer kapitalistische r Grundeinstellun g auf sozial. Glaubt der wirklich das Arbeitnehmer in der Regel so dumm sind. Ach ist das schade das ich ihm nicht gegenüber bin und seine Aussage in Sekunden zerlegen.
3526,Er hat Angst um seinen Profit
3527,"Wenn man ein paar Milliönchen im Jahr als Unternehmer verdient kann man sich das auch leisten mal auf seinen ""Lohn"" zu verzichten....  Letztlich haben wir hier das perfekte Beispiel für die Moderne Sklaverei....  Der Unternehmer schäffelt sich die dicke Kohle auf Kosten der Arbeitnehmer... .  Wozu muss ein Unternehmer 20 Millionen oder mehr im Jahr verdienen, wenn die Arbeitnehmer nicht einmal 1% von dem haben also vllt 20 Tausend im Jahr...."
3528,Unglaublich was der da redet 😡 aber so ist das wenn man alte Männer reden lässt anstatt es anders zu machen 😡
3529,Der Vernünftigste in der Runde m.E. leider darf er nicht ausreden - soll Diskussion unterkomplex bleiben?
3530,"Die ""soziale Marktwirtschaft "" ist nur ein Deckmäntelchen! Sie dient der Beruhigung der Massen! Der Kapitalismus ist längst ausgeufert! Man braucht nur auf diese Welt zu schauen.Die Hoffnung bleibt dass dieses korrupte System zusammenbricht! Die Krisen werden nur auf die Mittel-und Unterschicht abgewälzt, die Profiteure bleiben unbehelligt!"
3531,"Geht es eigentlich noch, wenn Herr Kirchhoff zu Frau Kordus sagt, sie würde gerne um 5 Uhr morgens ihr Kind wecken, um zur Arbeit zugehen!!!"
3532,"Tariflohn🤣🤣🤣. Wenn tariflohn das A und O ist, warum hat VW dann mehr Zeit-und Leiharbeiter als festangstellte. Und das gilt für alle großindustriell en"
3533,"Sorry, aber der geht ja gar nicht."
3534,"So Herr Kirchhoff, zum Thema Umverteilung. Anfang der 70er Jahre hatten die reichsten 10 Prozent der Bürger in Deutschland einen Anteil von 42 Prozent am Gesamtvermögen. Heute gut 50 Jahre später sind es 67 Prozent. Da wurde doch wohl eher von unten nach oben verteilt, oder????!!"
